kata,time,weight,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftArm_x,LeftArm_y,LeftArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,LeftHandIndex1_x,LeftHandIndex1_y,LeftHandIndex1_z,LeftHandIndex2_x,LeftHandIndex2_y,LeftHandIndex2_z,LeftHandIndex3_x,LeftHandIndex3_y,LeftHandIndex3_z,LeftHandIndex4_x,LeftHandIndex4_y,LeftHandIndex4_z,LeftHandMiddle1_x,LeftHandMiddle1_y,LeftHandMiddle1_z,LeftHandMiddle2_x,LeftHandMiddle2_y,LeftHandMiddle2_z,LeftHandMiddle3_x,LeftHandMiddle3_y,LeftHandMiddle3_z,LeftHandMiddle4_x,LeftHandMiddle4_y,LeftHandMiddle4_z,LeftHandPinky1_x,LeftHandPinky1_y,LeftHandPinky1_z,LeftHandPinky2_x,LeftHandPinky2_y,LeftHandPinky2_z,LeftHandPinky3_x,LeftHandPinky3_y,LeftHandPinky3_z,LeftHandPinky4_x,LeftHandPinky4_y,LeftHandPinky4_z,LeftHandRing1_x,LeftHandRing1_y,LeftHandRing1_z,LeftHandRing2_x,LeftHandRing2_y,LeftHandRing2_z,LeftHandRing3_x,LeftHandRing3_y,LeftHandRing3_z,LeftHandRing4_x,LeftHandRing4_y,LeftHandRing4_z,LeftHandThumb1_x,LeftHandThumb1_y,LeftHandThumb1_z,LeftHandThumb2_x,LeftHandThumb2_y,LeftHandThumb2_z,LeftHandThumb3_x,LeftHandThumb3_y,LeftHandThumb3_z,LeftHandThumb4_x,LeftHandThumb4_y,LeftHandThumb4_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,HeadTop_End_x,HeadTop_End_y,HeadTop_End_z,LeftEye_x,LeftEye_y,LeftEye_z,RightEye_x,RightEye_y,RightEye_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightArm_x,RightArm_y,RightArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,RightHandIndex1_x,RightHandIndex1_y,RightHandIndex1_z,RightHandIndex2_x,RightHandIndex2_y,RightHandIndex2_z,RightHandIndex3_x,RightHandIndex3_y,RightHandIndex3_z,RightHandIndex4_x,RightHandIndex4_y,RightHandIndex4_z,RightHandMiddle1_x,RightHandMiddle1_y,RightHandMiddle1_z,RightHandMiddle2_x,RightHandMiddle2_y,RightHandMiddle2_z,RightHandMiddle3_x,RightHandMiddle3_y,RightHandMiddle3_z,RightHandMiddle4_x,RightHandMiddle4_y,RightHandMiddle4_z,RightHandPinky1_x,RightHandPinky1_y,RightHandPinky1_z,RightHandPinky2_x,RightHandPinky2_y,RightHandPinky2_z,RightHandPinky3_x,RightHandPinky3_y,RightHandPinky3_z,RightHandPinky4_x,RightHandPinky4_y,RightHandPinky4_z,RightHandRing1_x,RightHandRing1_y,RightHandRing1_z,RightHandRing2_x,RightHandRing2_y,RightHandRing2_z,RightHandRing3_x,RightHandRing3_y,RightHandRing3_z,RightHandRing4_x,RightHandRing4_y,RightHandRing4_z,RightHandThumb1_x,RightHandThumb1_y,RightHandThumb1_z,RightHandThumb2_x,RightHandThumb2_y,RightHandThumb2_z,RightHandThumb3_x,RightHandThumb3_y,RightHandThumb3_z,RightHandThumb4_x,RightHandThumb4_y,RightHandThumb4_z
nama,0,1,-3.374205E-06,-0.0003927363,0.01193063,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,-5.122653E-06,-4.274965E-08,359.9724,1.018582,44.54293,49.70122,335.0523,91.26813,21.70456,345.6909,356.3692,351.9496,358.1617,0.5414121,351.4556,359.8658,0.3527001,359.6708,0.3314728,0.6718256,4.797494,0,0,0,357.2939,6.433358,358.0948,359.3849,3.065909,355.8336,0.2382197,359.3155,4.394907,0,0,0,325.6193,353.0656,129.0702,350.3622,2.859505,35.32883,3.702702,353.1895,339.4095,0,0,0,348.9799,2.953285,104.4634,347.3201,0.4098375,75.664,2.417778,351.2984,315.5658,0,0,0,3.122985,340.8147,0.1463841,15.35752,288.2748,336.8799,339.5381,39.29782,2.573457,0,0,0,1.707548E-06,1.707547E-05,-6.830189E-06,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,-1.701024E-06,-8.534805E-07,359.9803,354.4286,321.277,317.5015,344.2059,252.3556,350.0008,355.6152,2.928052,6.436619,359.3609,1.657655,7.461849,359.8718,359.6827,0.3509167,0.3435792,359.2965,355.1916,0,0,0,359.3561,357.9171,0.4712159,359.3631,356.8471,3.650161,0.2550585,0.6660908,355.5,0,0,0,283.5674,325.2758,280.2713,352.5174,356.7259,332.6093,2.339716,5.467838,10.95807,0,0,0,308.9668,2.476253,224.9163,356.4499,358.2298,336.4119,1.474292,3.740684,13.13863,0,0,0,7.36982,10.74395,354.0377,9.985492,41.0591,11.20181,353.5336,347.8333,354.3445,0,0,0
nama,0.0384093,1,-3.374205E-06,-0.0003927363,0.01193063,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,359.9847,0.05668648,0.03465451,358.9258,45.04187,49.89474,335.3364,90.8872,20.48959,345.5526,356.2511,351.9522,358.139,0.5682575,351.4041,359.8741,0.369674,359.7849,0.3353,0.6817211,4.861405,0,0,0,357.2935,6.435321,358.0996,359.3849,3.065909,355.8336,0.2381813,359.3163,4.400476,0,0,0,324.9581,352.7759,129.8409,350.3355,2.853477,35.43176,3.721812,353.1637,339.2542,0,0,0,348.7056,2.945141,104.9698,347.2652,0.3708078,76.0396,2.41635,351.2837,315.4745,0,0,0,3.276025,340.8148,0.2207011,15.37112,288.0612,336.7898,339.2122,40.01843,2.403481,0,0,0,-0.0008366981,5.464262E-05,-0.0001519721,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,359.9896,359.9896,359.9343,354.8352,321.0406,317.846,344.9857,253.2925,349.5946,356.4002,3.090706,6.376668,359.3793,1.537737,7.171574,359.8718,359.6827,0.3509167,0.3415954,359.3013,355.2227,0,0,0,359.3568,357.9243,0.4888968,359.3631,356.8471,3.650161,0.2551172,0.6686347,355.5185,0,0,0,283.2972,325.0134,280.3903,352.436,356.7323,332.3,2.340354,5.468469,10.96249,0,0,0,308.9074,2.666852,224.5438,356.4073,358.2155,336.1608,1.477065,3.746773,13.18064,0,0,0,7.290765,10.78874,354.1018,9.995731,41.09613,11.21447,353.6185,347.9879,354.3473,0,0,0
nama,0.0551371,1,-3.374205E-06,-0.0003927363,0.01193063,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,359.9808,0.07316121,0.05056767,358.2208,45.15775,50.11294,335.4515,90.61819,20.06965,345.4809,356.2334,351.9341,358.1349,0.5751597,351.3992,359.8764,0.374505,359.8173,0.3366342,0.6851823,4.883749,0,0,0,357.2911,6.440121,358.0961,359.3849,3.065909,355.8336,0.2382009,359.3159,4.397611,0,0,0,324.7734,352.6968,130.0471,350.3277,2.851696,35.46201,3.727509,353.156,339.2079,0,0,0,348.6308,2.94392,105.0977,347.2537,0.3625751,76.1184,2.415958,351.2798,315.4498,0,0,0,3.303265,340.8205,0.2361629,15.37393,288.0165,336.7709,339.138,40.18332,2.364007,0,0,0,-0.003590971,0.0001468689,-0.0006335046,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,359.9877,359.9872,359.9264,355.0093,320.9021,317.9192,345.3663,253.907,349.3791,356.7471,3.105481,6.374083,359.3833,1.511287,7.107608,359.8718,359.6827,0.3509167,0.3420327,359.3003,355.2159,0,0,0,359.3569,357.9259,0.4928072,359.3631,356.8471,3.650161,0.2551295,0.6691983,355.5226,0,0,0,283.2392,324.8976,280.4842,352.4138,356.7341,332.2154,2.342009,5.470103,10.97395,0,0,0,308.9,2.717433,224.4443,356.3952,358.2115,336.0899,1.478171,3.749205,13.1974,0,0,0,7.272875,10.79502,354.1145,10.00287,41.12202,11.22332,353.6351,348.0181,354.3478,0,0,0
nama,0.0718041,1,-3.374205E-06,-0.0003927363,0.01193063,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,359.9777,0.0871589,0.06321777,357.5883,45.2525,50.37233,335.5588,90.32034,19.69835,345.4074,356.2246,351.911,358.1324,0.580628,351.3985,359.8784,0.3785497,359.8445,0.3378374,0.6883032,4.903893,0,0,0,357.2883,6.445779,358.0915,359.3849,3.065909,355.8336,0.2382288,359.3153,4.393673,0,0,0,324.6392,352.6323,130.2141,350.3217,2.850327,35.48522,3.732321,353.1495,339.1686,0,0,0,348.5753,2.941902,105.1998,347.2456,0.3567331,76.1742,2.415649,351.2766,315.4304,0,0,0,3.319721,340.8271,0.2467844,15.37594,287.9844,336.7573,339.0828,40.30639,2.334404,0,0,0,359.9931,0.0002869388,-0.001176517,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,359.9867,359.9854,359.9217,355.1805,320.7536,317.9702,345.7615,254.5975,349.1526,357.0906,3.106734,6.377526,359.3862,1.491967,7.060878,359.8718,359.6827,0.3509167,0.3427527,359.2985,355.2045,0,0,0,359.357,357.9271,0.4956686,359.3631,356.8471,3.650161,0.2551394,0.6696112,355.5256,0,0,0,283.1975,324.7867,280.5833,352.3976,356.7355,332.1542,2.343902,5.471974,10.98708,0,0,0,308.8972,2.759025,224.362,356.386,358.2084,336.0356,1.479183,3.751435,13.21278,0,0,0,7.260355,10.7976,354.1226,10.0103,41.14891,11.23253,353.6464,348.0388,354.3482,0,0,0
nama,0.0884702,1,-3.374205E-06,-0.0003927363,0.01193063,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,359.9762,0.09573783,0.06873701,357.1121,45.30616,50.72108,335.6566,89.95721,19.43399,345.3294,356.2357,351.8764,358.1334,0.5830026,351.4073,359.8795,0.3808796,359.8601,0.3387562,0.690689,4.919297,0,0,0,357.2844,6.453422,358.0843,359.3849,3.065909,355.8336,0.2382741,359.3145,4.387281,0,0,0,324.6153,352.6017,130.2936,350.3197,2.849869,35.49297,3.735194,353.1456,339.1452,0,0,0,348.5621,2.938443,105.2451,347.2449,0.3562364,76.17896,2.41552,351.2753,315.4223,0,0,0,3.312253,340.836,0.2466758,15.37619,287.9803,336.7556,339.0693,40.33662,2.327117,0,0,0,359.9886,0.0004953833,-0.001946654,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,359.9872,359.985,359.9239,355.346,320.5804,317.973,346.1889,255.4666,348.9006,357.4293,3.077631,6.393991,359.3867,1.488456,7.05241,359.8718,359.6827,0.3508996,0.3441114,359.2952,355.1832,0,0,0,359.357,357.9273,0.4962205,359.3631,356.8471,3.650164,0.2551412,0.6696889,355.5261,0,0,0,283.192,324.6883,280.6927,352.3952,356.7357,332.1449,2.346328,5.474374,11.0039,0,0,0,308.9048,2.780836,224.3179,356.383,358.2074,336.018,1.480004,3.753241,13.22523,0,0,0,7.259725,10.79204,354.1203,10.01838,41.17823,11.24256,353.6461,348.0383,354.3482,0,0,0
nama,0.1051375,1,-3.374205E-06,-0.0003927363,0.01193063,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,359.9753,0.1025245,0.07214428,356.6909,45.34989,51.09647,335.7478,89.57838,19.21009,345.2515,356.2527,351.8385,358.1352,0.5843114,351.4182,359.8803,0.3825884,359.8716,0.3395389,0.6927205,4.932412,0,0,0,357.2802,6.461439,358.0768,359.3849,3.065909,355.8336,0.2383214,359.3136,4.380628,0,0,0,324.6206,352.5825,130.3439,350.3189,2.849685,35.49608,3.737258,353.1428,339.1284,0,0,0,348.561,2.934937,105.2718,347.2465,0.3573634,76.16819,2.415469,351.2748,315.4192,0,0,0,3.29813,340.8451,0.2434589,15.37595,287.9841,336.7572,339.069,40.33714,2.32699,0,0,0,359.9837,0.001400557,-0.002590548,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,359.9881,359.9851,359.928,355.5108,320.4016,317.9608,346.6228,256.3625,348.643,357.7619,3.041137,6.414047,359.3865,1.489905,7.055882,359.8718,359.6827,0.3508996,0.3455784,359.2916,355.1601,0,0,0,359.357,357.9272,0.496019,359.3631,356.8471,3.650164,0.2551409,0.6696627,355.5259,0,0,0,283.1977,324.6004,280.7977,352.3965,356.7356,332.15,2.348754,5.476771,11.02071,0,0,0,308.9152,2.79654,224.2856,356.3825,358.2072,336.0154,1.480689,3.75475,13.23564,0,0,0,7.26387,10.78391,354.1143,10.0261,41.20628,11.25217,353.6427,348.032,354.3481,0,0,0
nama,0.1218042,1,-3.374205E-06,-0.0003927363,0.01193063,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,359.9756,0.1053396,0.07086799,356.3917,45.3774,51.5289,335.8299,89.16483,19.07869,345.1738,356.2828,351.7931,358.1391,0.5832217,351.4342,359.8805,0.3828969,359.8737,0.3400164,0.6939639,4.940433,0,0,0,357.2757,6.47026,358.0685,359.3849,3.065909,355.8336,0.2383721,359.3126,4.373357,0,0,0,324.6911,352.5888,130.3286,350.3208,2.850114,35.48883,3.737522,353.1424,339.1262,0,0,0,348.587,2.931314,105.2568,347.2531,0.3621274,76.12268,2.415596,351.2761,315.4271,0,0,0,3.269111,340.8548,0.2332318,15.37461,288.0056,336.7663,339.0987,40.27091,2.342952,0,0,0,359.9782,0.003866439,-0.002903565,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,359.99,359.986,359.9365,355.6736,320.2099,317.9158,347.0626,257.3237,348.3721,358.0809,2.987741,6.442366,359.3846,1.502477,7.086251,359.8718,359.6827,0.3508996,0.3472886,359.2874,355.1332,0,0,0,359.357,357.9265,0.4942091,359.3631,356.8471,3.650164,0.2551347,0.6694015,355.524,0,0,0,283.2285,324.537,280.8915,352.4064,356.7347,332.1874,2.351159,5.479154,11.0374,0,0,0,308.9319,2.798624,224.2795,356.3878,358.209,336.0464,1.481073,3.755595,13.24146,0,0,0,7.278629,10.76997,354.0997,10.03302,41.23143,11.26078,353.6322,348.0128,354.3477,0,0,0
nama,0.138473,1,-3.374205E-06,-0.0003927363,0.01193063,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,359.9761,0.107047,0.06827434,356.1316,45.39303,51.96563,335.907,88.75443,18.96927,345.0981,356.3128,351.7462,358.1434,0.5814043,351.4503,359.8804,0.3827299,359.8725,0.3403485,0.6948259,4.945993,0,0,0,357.2714,6.478671,358.0608,359.3849,3.065909,355.8336,0.2384191,359.3116,4.366568,0,0,0,324.7787,352.6028,130.2935,350.3235,2.850722,35.47852,3.737036,353.1431,339.1302,0,0,0,348.62,2.92778,105.23,347.2609,0.3677451,76.06894,2.415797,351.2781,315.4397,0,0,0,3.237442,340.8641,0.2215392,15.37306,288.0303,336.7767,339.1366,40.18655,2.363233,0,0,0,359.9727,0.006380163,-0.00321171,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,359.992,359.9872,359.9456,355.8367,320.017,317.863,347.5,258.2776,348.1002,358.3899,2.932554,6.471525,359.3823,1.517888,7.123534,359.8718,359.6827,0.3508996,0.3489289,359.2834,355.1073,0,0,0,359.3569,357.9255,0.4919649,359.3631,356.8471,3.650164,0.2551266,0.669079,355.5217,0,0,0,283.2654,324.4897,280.9713,352.4183,356.7337,332.2327,2.353314,5.481288,11.05234,0,0,0,308.9497,2.797351,224.28,356.3944,358.2112,336.085,1.481272,3.756035,13.24449,0,0,0,7.294861,10.75576,354.0842,10.03894,41.25293,11.26814,353.6205,347.9916,354.3474,0,0,0
nama,0.1555095,1,-3.374205E-06,-0.0003927363,0.01193063,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,359.9774,0.1062129,0.06271182,355.9544,45.38657,52.42072,335.978,88.34214,18.90965,345.0258,356.3429,351.6948,358.1487,0.5778004,351.4673,359.8798,0.3814585,359.864,0.3403523,0.6948349,4.946059,0,0,0,357.2675,6.486274,358.0541,359.3849,3.065909,355.8336,0.2384589,359.3109,4.360807,0,0,0,324.908,352.6346,130.2122,350.328,2.851756,35.46103,3.734827,353.1461,339.1482,0,0,0,348.6698,2.924342,105.1757,347.2717,0.3754497,75.99512,2.416173,351.2819,315.4634,0,0,0,3.199065,340.8725,0.206285,15.371,288.0631,336.7906,339.194,40.05889,2.393812,0,0,0,359.9668,0.009078338,-0.003511638,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,-0.005453047,359.989,359.9567,356.004,319.8175,317.7915,347.9305,259.2418,347.8188,358.6829,2.871776,6.50393,359.379,1.540221,7.177498,359.8718,359.6827,0.3508996,0.3504537,359.2797,355.0833,0,0,0,359.3568,357.9242,0.4886885,359.3631,356.8471,3.650184,0.2551161,0.6686054,355.5182,0,0,0,283.3174,324.4775,281.0209,352.4352,356.7324,332.2969,2.354937,5.482898,11.06361,0,0,0,308.9703,2.788444,224.2954,356.4041,358.2144,336.142,1.481051,3.75555,13.24114,0,0,0,7.314805,10.7406,354.0662,10.04268,41.26649,11.27279,353.606,347.9652,354.3469,0,0,0
nama,0.1721775,1,-3.374205E-06,-0.0003927363,0.01193063,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,359.9788,0.1049081,0.05689831,355.8092,45.37576,52.84661,336.0426,87.95766,18.86568,344.959,356.3788,351.6397,358.1536,0.5738044,351.4821,359.879,0.3798557,359.8532,0.3401895,0.6944124,4.943328,0,0,0,357.2647,6.491776,358.0493,359.3849,3.065909,355.8336,0.2384886,359.3103,4.356601,0,0,0,325.0403,352.6697,130.1216,350.3328,2.852855,35.44234,3.731924,353.15,339.1719,0,0,0,348.7207,2.921191,105.1173,347.2824,0.3830815,75.92186,2.416615,351.2864,315.4914,0,0,0,3.163011,340.8796,0.1915523,15.36906,288.0938,336.8035,339.2533,39.92712,2.425248,0,0,0,359.9613,0.01169115,-0.003784454,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,-0.003161285,359.9908,359.9668,356.168,319.6273,317.7209,348.337,260.1415,347.5484,358.9547,2.816034,6.533516,359.3755,1.562849,7.232245,359.8718,359.6827,0.350886,0.3516836,359.2766,355.0638,0,0,0,359.3566,357.9229,0.4853795,359.3631,356.8471,3.650184,0.2551052,0.6681293,355.5148,0,0,0,283.3694,324.4876,281.0451,352.4521,356.731,332.3612,2.35599,5.48394,11.07092,0,0,0,308.9897,2.779095,224.3118,356.4138,358.2177,336.1993,1.480587,3.754528,13.2341,0,0,0,7.33251,10.72792,354.0506,10.04456,41.2733,11.27513,353.5927,347.941,354.3464,0,0,0
