kata,time,weight,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftArm_x,LeftArm_y,LeftArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,LeftHandIndex1_x,LeftHandIndex1_y,LeftHandIndex1_z,LeftHandIndex2_x,LeftHandIndex2_y,LeftHandIndex2_z,LeftHandIndex3_x,LeftHandIndex3_y,LeftHandIndex3_z,LeftHandIndex4_x,LeftHandIndex4_y,LeftHandIndex4_z,LeftHandMiddle1_x,LeftHandMiddle1_y,LeftHandMiddle1_z,LeftHandMiddle2_x,LeftHandMiddle2_y,LeftHandMiddle2_z,LeftHandMiddle3_x,LeftHandMiddle3_y,LeftHandMiddle3_z,LeftHandMiddle4_x,LeftHandMiddle4_y,LeftHandMiddle4_z,LeftHandPinky1_x,LeftHandPinky1_y,LeftHandPinky1_z,LeftHandPinky2_x,LeftHandPinky2_y,LeftHandPinky2_z,LeftHandPinky3_x,LeftHandPinky3_y,LeftHandPinky3_z,LeftHandPinky4_x,LeftHandPinky4_y,LeftHandPinky4_z,LeftHandRing1_x,LeftHandRing1_y,LeftHandRing1_z,LeftHandRing2_x,LeftHandRing2_y,LeftHandRing2_z,LeftHandRing3_x,LeftHandRing3_y,LeftHandRing3_z,LeftHandRing4_x,LeftHandRing4_y,LeftHandRing4_z,LeftHandThumb1_x,LeftHandThumb1_y,LeftHandThumb1_z,LeftHandThumb2_x,LeftHandThumb2_y,LeftHandThumb2_z,LeftHandThumb3_x,LeftHandThumb3_y,LeftHandThumb3_z,LeftHandThumb4_x,LeftHandThumb4_y,LeftHandThumb4_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,HeadTop_End_x,HeadTop_End_y,HeadTop_End_z,LeftEye_x,LeftEye_y,LeftEye_z,RightEye_x,RightEye_y,RightEye_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightArm_x,RightArm_y,RightArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,RightHandIndex1_x,RightHandIndex1_y,RightHandIndex1_z,RightHandIndex2_x,RightHandIndex2_y,RightHandIndex2_z,RightHandIndex3_x,RightHandIndex3_y,RightHandIndex3_z,RightHandIndex4_x,RightHandIndex4_y,RightHandIndex4_z,RightHandMiddle1_x,RightHandMiddle1_y,RightHandMiddle1_z,RightHandMiddle2_x,RightHandMiddle2_y,RightHandMiddle2_z,RightHandMiddle3_x,RightHandMiddle3_y,RightHandMiddle3_z,RightHandMiddle4_x,RightHandMiddle4_y,RightHandMiddle4_z,RightHandPinky1_x,RightHandPinky1_y,RightHandPinky1_z,RightHandPinky2_x,RightHandPinky2_y,RightHandPinky2_z,RightHandPinky3_x,RightHandPinky3_y,RightHandPinky3_z,RightHandPinky4_x,RightHandPinky4_y,RightHandPinky4_z,RightHandRing1_x,RightHandRing1_y,RightHandRing1_z,RightHandRing2_x,RightHandRing2_y,RightHandRing2_z,RightHandRing3_x,RightHandRing3_y,RightHandRing3_z,RightHandRing4_x,RightHandRing4_y,RightHandRing4_z,RightHandThumb1_x,RightHandThumb1_y,RightHandThumb1_z,RightHandThumb2_x,RightHandThumb2_y,RightHandThumb2_z,RightHandThumb3_x,RightHandThumb3_y,RightHandThumb3_z,RightHandThumb4_x,RightHandThumb4_y,RightHandThumb4_z
nama,0,0.05555433,1.028617E-05,-0.0003927349,0.01192893,0,0,0,0,0,0,-5.122653E-06,-4.274965E-08,359.9724,353.1385,18.7889,86.93442,349.5618,1.672244,358.282,1.904593,357.0861,353.1182,358.9145,359.2813,352.3643,359.895,0.4129431,0.07510833,0.3545482,0.7320017,5.185717,0,0,0,359.2955,2.184236,359.4156,359.3825,3.098905,356.0797,0.2381611,359.3167,4.403305,0,0,0,358.1902,11.24329,6.93108,359.6582,2.012572,359.8733,0.1238496,356.3754,2.649034,0,0,0,358.71,9.560993,5.433485,359.7367,359.9424,2.277161,0.7935156,357.4906,356.0002,0,0,0,352.6769,358.5335,0.5889773,355.4165,357.1685,357.6826,1.542127,357.3551,4.391411,0,0,0,-0.002294553,6.116199,-0.0002286046,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,-1.701024E-06,-8.534805E-07,359.9803,353.0513,341.5424,273.5509,349.7159,357.7746,1.760133,2.58017,2.817554,6.820399,358.9372,0.7870859,7.618518,359.9063,359.6151,359.8982,0.367523,359.2375,354.812,0,0,0,359.4087,358.0469,0.5065994,359.3644,356.8775,3.877122,0.2554016,0.6814538,355.6117,0,0,0,357.2248,346.3893,354.4675,359.7642,357.9632,0.6122643,0.07195592,3.723507,356.8589,0,0,0,357.0588,347.5225,353.5643,0.1428122,0.4308631,0.625339,0.6048181,2.233158,2.208551,0,0,0,352.6196,0.9527137,359.2305,354.7835,1.463637,2.171657,2.318679,4.134505,355.8781,0,0,0
nama,0.0387701,0.184788,1.028617E-05,-0.0003927349,0.01192893,0,0,0,0,0,0,-0.002834427,0.010532,359.984,352.0656,22.64951,81.99708,350.7003,15,358.3872,359.6595,356.9919,352.9352,358.8058,359.4583,352.2315,359.8925,0.407852,0.04099799,0.352118,0.7256026,5.144476,0,0,0,359.0154,2.764059,359.2446,359.3828,3.094392,356.0461,0.2381625,359.3167,4.403179,0,0,0,352.341,14.34003,22.08714,358.438,2.468553,4.735697,0.6906136,356.0261,359.4544,0,0,0,356.9102,9.822769,18.93189,358.2144,0.9619918,12.33538,1.270332,356.7316,350.4663,0,0,0,354.1443,356.1021,0.7470028,359.0274,349.1035,356.6372,358.4744,3.105088,5.122615,0,0,0,359.9889,5.390084,-0.0003291991,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,-0.001938765,-0.001940149,359.9717,351.7772,338.6071,279.4558,351.4463,343.1176,2.175689,1.773263,2.859626,6.760385,358.9981,0.8840696,7.542849,359.9016,359.6244,359.9602,0.3639095,359.2465,354.8697,0,0,0,359.4016,358.0305,0.5050394,359.3643,356.8734,3.846082,0.2553669,0.6798247,355.5999,0,0,0,348.5521,337.8082,343.5291,358.8065,357.5814,356.7217,0.4067694,3.928506,358.7845,0,0,0,350.0811,341.1565,338.4214,359.6908,0.03495421,357.2584,0.741242,2.43026,3.710416,0,0,0,354.5963,2.378243,358.3555,357.0052,6.361403,2.704978,1.16262,1.918792,355.5256,0,0,0
nama,0.0554375,0.240346,1.028617E-05,-0.0003927349,0.01192893,0,0,0,0,0,0,-0.004624446,0.01764611,359.9913,351.6989,24.30305,79.91074,351.0125,20.57733,358.8607,358.6805,356.9481,352.8536,358.7588,359.5354,352.1744,359.8918,0.4064154,0.03136441,0.3512961,0.723445,5.130573,0,0,0,358.895,3.014584,359.1693,359.383,3.092451,356.0316,0.2381679,359.3165,4.402305,0,0,0,349.5667,15.24539,28.56263,357.9012,2.632869,6.828715,0.9293633,355.8654,358.0725,0,0,0,356.1229,9.805962,24.75864,357.508,1.316267,16.6634,1.452635,356.3912,348.0815,0,0,0,354.7788,355.0608,0.7971362,0.5295646,345.6136,356.0331,357.125,5.588219,5.343548,0,0,0,359.9851,5.064116,-0.000489181,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,-0.002950181,-0.003081281,359.9673,351.3847,337.2663,282.0499,352.2397,336.9959,1.967395,1.490558,2.878148,6.734821,359.0248,0.9223069,7.501989,359.8996,359.6284,359.9868,0.3625035,359.25,354.8921,0,0,0,359.3986,358.0237,0.5048743,359.3642,356.8716,3.832715,0.2553527,0.6791972,355.5953,0,0,0,344.3459,334.4835,339.2605,358.384,357.4364,355.0378,0.5490022,4.020369,359.6154,0,0,0,346.5919,338.9365,332.1145,359.4879,359.8718,355.8009,0.7985595,2.516487,4.359251,0,0,0,355.448,2.981689,357.999,357.9467,8.474866,2.992594,0.6634838,0.9722383,355.3884,0,0,0
nama,0.07210509,0.2959046,1.028617E-05,-0.0003927349,0.01192893,0,0,0,1.707546E-06,-2.390566E-05,-3.415095E-06,359.9934,0.02585289,-0.0006475599,351.3945,25.95233,77.85116,351.1821,26.06045,359.5568,357.693,356.9039,352.7698,358.7119,359.6129,352.118,359.8913,0.4052691,0.0236862,0.3505812,0.7215687,5.118479,0,0,0,358.7745,3.266041,359.0927,359.3831,3.09051,356.0171,0.238179,359.3163,4.400777,0,0,0,346.7019,15.84306,35.05301,357.3584,2.777589,8.922179,1.164661,355.6986,356.6869,0,0,0,355.3406,9.708644,30.59797,356.7766,1.616461,20.99128,1.620698,356.0433,345.6941,0,0,0,355.4132,354.0217,0.8352785,2.024177,342.0275,355.3217,355.7646,8.074662,5.50624,0,0,0,359.9812,4.730355,-0.0007341287,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,-0.003944534,-0.004308573,359.9629,351.0929,335.8859,284.6691,353.0104,330.994,1.537138,1.245636,2.894432,6.71039,359.0517,0.9598222,7.45942,359.8976,359.6324,0.01342887,0.3612312,359.2531,354.9124,0,0,0,359.3955,358.0168,0.504836,359.3641,356.8698,3.819356,0.2553397,0.6785865,355.5909,0,0,0,339.9321,331.3889,335.2378,357.9569,357.3036,353.3526,0.6901869,4.114492,0.4481898,0,0,0,342.8939,337.0858,325.8839,359.2806,359.7136,354.3411,0.8550182,2.603549,5.009594,0,0,0,356.3016,3.579375,357.653,358.8781,10.59472,3.31503,0.1623482,0.02731166,355.2596,0,0,0
nama,0.0888213,0.3516253,1.028617E-05,-0.0003927349,0.01192893,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,359.9916,0.03371919,0.006358785,351.1856,27.60143,75.82455,351.2035,31.45495,0.4641833,356.6929,356.8639,352.6816,358.6659,359.6902,352.0645,359.8907,0.4039788,0.01503878,0.3499002,0.7197797,5.106946,0,0,0,358.6533,3.519641,359.014,359.3833,3.088565,356.0026,0.2381984,359.3159,4.397938,0,0,0,343.8167,16.07802,41.61036,356.8098,2.902612,11.01864,1.396348,355.5258,355.2975,0,0,0,354.5786,9.523326,36.45592,356.0244,1.860787,25.32028,1.774442,355.688,343.3004,0,0,0,356.0431,352.9821,0.8579774,3.641268,337.9842,354.4146,354.4037,10.55278,5.609532,0,0,0,359.9771,4.388188,-0.001125171,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,-0.004513263,-0.005262811,359.9604,350.9046,334.4642,287.3046,353.73,325.1359,0.8956023,1.036747,2.900649,6.689895,359.0782,1.000739,7.42476,359.8955,359.6364,0.04013978,0.3602542,359.2555,354.9279,0,0,0,359.3925,358.0098,0.5042988,359.364,356.868,3.805985,0.2553248,0.677904,355.5859,0,0,0,335.3586,328.525,331.432,357.5276,357.1839,351.674,0.8308547,4.211264,1.28649,0,0,0,339.0445,335.6432,319.6647,359.0697,359.561,352.8843,0.9107068,2.6916,5.66265,0,0,0,357.1624,4.171464,357.314,359.8009,12.72875,3.673283,359.655,359.0757,355.138,0,0,0
nama,0.1057883,0.408182,1.028617E-05,-0.0003927349,0.01192893,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,359.99,0.04190846,0.01313478,351.0544,29.26757,73.80659,351.0451,36.82465,1.57025,355.669,356.8257,352.5884,358.6198,359.7685,352.0122,359.89,0.4026507,0.006133067,0.3492508,0.7180753,5.095964,0,0,0,358.53,3.778211,358.9326,359.3834,3.086589,355.9879,0.2382253,359.3154,4.394238,0,0,0,340.9106,15.94069,48.3555,356.2491,3.008876,13.14537,1.627099,355.3448,353.8868,0,0,0,353.8315,9.253794,42.40891,355.2454,2.049817,29.70896,1.915105,355.3212,340.8711,0,0,0,356.6783,351.9287,0.8668338,5.21178,333.8485,353.3779,353.0243,13.06285,5.653884,0,0,0,359.9727,4.034016,-0.001570298,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,-0.004841388,359.9939,359.959,350.8259,332.9941,289.99,354.3731,319.3206,0.05013215,0.8606468,2.900438,6.672262,359.1048,1.044134,7.394114,359.8935,359.6404,0.06725237,0.359464,359.2575,354.9405,0,0,0,359.3894,358.0026,0.5034686,359.364,356.8662,3.792393,0.2553089,0.677172,355.5806,0,0,0,330.6123,325.8579,327.7724,357.09,357.0755,349.976,0.972482,4.311812,2.139533,0,0,0,335.0576,334.6403,313.3149,358.8524,359.412,351.4109,0.9662431,2.781685,6.326095,0,0,0,358.04,4.765867,356.9786,0.7242466,14.90309,4.072264,359.1366,358.1082,355.0229,0,0,0
nama,0.1224551,0.463738,1.028617E-05,-0.0003927349,0.01192893,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,359.9887,0.04890366,0.01806999,351.0342,30.89766,71.87394,350.7123,41.98813,2.829456,354.6545,356.7944,352.4916,358.5758,359.8445,351.9642,359.8892,0.4009101,-0.005527075,0.3485632,0.716274,5.084348,0,0,0,358.4086,4.033588,358.851,359.3835,3.084647,355.9734,0.2382582,359.3148,4.38955,0,0,0,338.1562,15.40153,55.1052,355.6959,3.092794,15.23064,1.848619,355.162,352.5049,0,0,0,353.1383,8.908131,48.25359,354.4713,2.176521,34.00644,2.037804,354.9561,338.4883,0,0,0,357.2936,350.8958,0.8592396,6.674977,329.7553,352.2505,351.6836,15.5081,5.638608,0,0,0,359.9681,3.680231,-0.00192243,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,-0.004614544,359.9935,359.9601,350.862,331.5291,292.6237,354.8923,313.7532,359.0493,0.7189316,2.88869,6.660439,359.1303,1.091889,7.376451,359.8914,359.6444,0.09386408,0.3589576,359.2587,354.9485,0,0,0,359.3864,357.9951,0.5019305,359.3639,356.8644,3.77903,0.2552912,0.6763443,355.5746,0,0,0,325.8999,323.4809,324.3434,356.661,356.9825,348.3231,1.110432,4.412852,2.9796,0,0,0,331.1351,334.1559,306.9666,358.6375,359.2727,349.9789,1.0197,2.870672,6.976983,0,0,0,358.9089,5.341996,356.6549,1.616473,17.04741,4.498469,358.622,357.1521,354.9178,0,0,0
nama,0.1391218,0.5192936,1.028617E-05,-0.0003927349,0.01192893,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,359.9876,0.05558047,0.02212669,351.1011,32.51055,69.98323,350.1762,47.04175,4.224618,353.6327,356.7646,352.3903,358.5325,359.9199,351.918,359.8882,0.3989273,359.9812,0.3478438,0.7143892,5.072199,0,0,0,358.2873,4.289791,358.7682,359.3837,3.082704,355.9589,0.2382951,359.3141,4.384363,0,0,0,335.5376,14.46462,62.01719,355.1407,3.156455,17.31414,2.065156,354.9745,351.1254,0,0,0,352.4864,8.491944,54.10174,353.6917,2.244602,38.29856,2.14507,354.5867,336.1082,0,0,0,357.9034,349.8638,0.8375833,8.052676,325.6247,351.0182,350.3538,17.94622,5.56596,0,0,0,359.9635,3.320532,-0.0023075,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,-0.004079249,359.9934,359.9625,351.0141,330.0556,295.2551,355.2753,308.3029,357.9043,0.6068112,2.870055,6.652244,359.1554,1.142678,7.366228,359.8894,359.6483,0.1204961,0.3586022,359.2596,354.9542,0,0,0,359.3833,357.9875,0.4999164,359.3638,356.8626,3.765699,0.2552712,0.6754515,355.5681,0,0,0,321.1711,321.3444,321.0374,356.2318,356.9023,346.6789,1.247016,4.516006,3.820763,0,0,0,327.272,334.2174,300.4182,358.4205,359.1394,348.5551,1.072067,2.960129,7.626997,0,0,0,359.7817,5.912143,356.3392,2.600255,19.46894,5.017764,358.104,356.1934,354.8208,0,0,0
nama,0.1557887,0.57485,1.028617E-05,-0.0003927349,0.01192893,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,359.9871,0.06104299,0.0243011,351.278,34.10146,68.13563,349.4354,51.98509,5.74422,352.6052,356.7362,352.2831,358.4903,359.9942,351.8738,359.887,0.3963312,359.9638,0.3469823,0.7121359,5.057662,0,0,0,358.1661,4.546553,358.6847,359.3838,3.080765,355.9444,0.2383323,359.3134,4.37904,0,0,0,333.1275,13.11603,69.11846,354.5848,3.199775,19.39404,2.275918,354.7828,349.7528,0,0,0,351.8866,8.00843,59.94542,352.9121,2.25388,42.58094,2.236663,354.2143,333.7345,0,0,0,358.5053,348.8321,0.8008255,9.336397,321.4566,349.6862,349.044,20.36708,5.437353,0,0,0,359.9587,2.955417,-0.002703679,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,-0.003115249,359.9937,359.9668,351.2847,328.5824,297.8738,355.4979,302.9666,356.6385,0.5167227,2.842918,6.648737,359.1797,1.198674,7.368659,359.8874,359.6523,0.1471144,0.3583472,359.2603,354.9582,0,0,0,359.3801,357.9796,0.4971502,359.3637,356.8608,3.752335,0.255249,0.674449,355.5608,0,0,0,316.4632,319.467,317.804,355.8044,356.835,345.049,1.381999,4.621105,4.66175,0,0,0,323.5439,334.8856,293.5735,358.2023,359.0128,347.1454,1.123174,3.049746,8.274003,0,0,0,0.6592374,6.476429,356.0307,3.575761,21.93897,5.587653,357.5818,355.2303,354.7321,0,0,0
nama,0.1730565,0.6324093,-3.374205E-06,-0.0003927363,0.01193063,6.869996E-13,-1.536792E-05,5.122641E-06,1.707546E-06,-2.390566E-05,-3.415095E-06,359.9867,0.0662503,0.02563919,351.5533,35.72455,66.25819,348.4349,56.98843,7.415078,351.5353,356.7131,352.1645,358.447,0.07052691,351.8285,359.8855,0.3932362,359.943,0.3459676,0.709482,5.040547,0,0,0,358.0413,4.812189,358.5981,359.384,3.078754,355.9294,0.2383676,359.3127,4.37391,0,0,0,330.8874,11.30373,76.70158,354.0085,3.223261,21.5475,2.488417,354.5799,348.3363,0,0,0,351.3183,7.447293,66.00183,352.1077,2.20167,47.01662,2.315033,353.8258,331.2807,0,0,0,359.1243,347.7629,0.7490149,10.56054,317.0935,348.2056,347.7037,22.87201,5.245499,0,0,0,359.9539,2.571783,-0.003086441,0,0,-6.796787E-29,0,0,0,0,0,0,0,0,0,-0.001935951,359.9943,359.972,351.6916,327.071,300.5757,355.5397,297.5347,355.2295,0.4460545,2.81057,6.647571,359.2044,1.259848,7.378859,359.8853,359.6564,0.174707,0.3580667,359.2609,354.9627,0,0,0,359.3769,357.9712,0.4938072,359.3636,356.8589,3.738508,0.2552242,0.6733408,355.5527,0,0,0,311.6319,317.818,314.4664,355.3619,356.7784,343.3682,1.519974,4.731892,5.531925,0,0,0,319.9042,336.2862,286.0551,357.9742,358.8879,345.6929,1.17481,3.142753,8.941254,0,0,0,1.570417,7.056684,355.721,4.558362,24.50826,6.22193,357.0383,354.2313,354.6493,0,0,0
